object,mass,result,line_pair_1,line_pair_2,line_pair_3,line_pair_4,line_pair_5
small,18,pass,107.00781,132.8946815,162.5043265,138.1751214,135.5737326
small,32,pass,107.1937581,138.689033,178.1775155,138.1293443,133.5360634
small,49,pass,110.572118,140.3844709,178.7274248,132.1728966,132.6781426
small,60,pass,103.4805704,132.2266081,176.9345921,143.5078683,135.4775669
small,63,pass,106.5750467,148.5933071,176.044456,131.1268275,134.276985
small,65,fail,109.2089614,153.8466391,165.0935088,132.4195424,136.3944465
medium,18,pass,110.3892961,141.9232456,158.4157259,134.6342375,132.2873921
medium,32,pass,108.2470133,141.8827556,172.3667553,135.1845345,128.1671233
medium,49,pass,108.8838846,144.1848171,177.2759575,131.1420681,129.2888161
medium,60,pass,111.0799165,146.1335392,176.0015211,131.7854398,129.1543491
medium,63,fail,71.69827956,92.64920365,118.5366319,93.01478899,87.16798303
large,18,pass,110.7057009,146.9075617,162.9147366,123.679841,117.532383
large,32,pass,110.6724261,149.4630163,169.8225374,127.8017643,125.6634357
large,49,pass,110.4074601,141.4818361,174.9510156,131.8851327,127.5267393
large,60,pass,112.9596504,143.1434855,175.5729755,134.4379085,131.38869
